## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=references/Course_tx_refflat.txt STRAND_SPECIFICITY=NONE INPUT=salmon/SRR7657872/SRR7657872.bam OUTPUT=salmon/SRR7657872/SRR7657872.RNAseq_metrics.txt ASSUME_SORTED=true VALIDATION_STRINGENCY=SILENT    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Mar 06 14:38:39 GMT 2023

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
8183555100	7935056305		7597416738	0	0	337639567	0	0	0	12402254	12395724	725796	0.500132	0.499868		0.95745	0	0	0.04255	0.95745	0.928376	0	0.567201	0.097774	0.158942	0.596821			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.014948
1	0.056036
2	0.132791
3	0.219411
4	0.309284
5	0.398245
6	0.482354
7	0.559358
8	0.630757
9	0.701011
10	0.768729
11	0.82587
12	0.873906
13	0.90934
14	0.944998
15	0.984007
16	1.016139
17	1.045968
18	1.075519
19	1.108494
20	1.137638
21	1.158833
22	1.179798
23	1.195816
24	1.209464
25	1.221694
26	1.22971
27	1.238059
28	1.244722
29	1.24841
30	1.25622
31	1.265807
32	1.273707
33	1.281763
34	1.284899
35	1.28354
36	1.283237
37	1.281581
38	1.282634
39	1.283548
40	1.282917
41	1.281726
42	1.282272
43	1.281533
44	1.281639
45	1.27978
46	1.282533
47	1.279414
48	1.279538
49	1.282913
50	1.279271
51	1.279854
52	1.279188
53	1.274031
54	1.269079
55	1.264173
56	1.261254
57	1.254652
58	1.247157
59	1.23778
60	1.230313
61	1.224092
62	1.215068
63	1.213348
64	1.213428
65	1.210001
66	1.205881
67	1.199114
68	1.189103
69	1.176576
70	1.172042
71	1.162999
72	1.154599
73	1.142356
74	1.127116
75	1.112563
76	1.098359
77	1.087746
78	1.074588
79	1.060565
80	1.047113
81	1.025713
82	1.003052
83	0.981055
84	0.9532
85	0.918761
86	0.888082
87	0.847156
88	0.807363
89	0.759224
90	0.715157
91	0.669421
92	0.616531
93	0.55317
94	0.485944
95	0.405834
96	0.318659
97	0.231989
98	0.146087
99	0.066931
100	0.014602

