## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[salmon/SRR7657873/SRR7657873.sorted.bam] OUTPUT=salmon/SRR7657873/SRR7657873.sorted.mkdup.bam METRICS_FILE=salmon/SRR7657873/SRR7657873.sorted.mkdup_metrics.txt REMOVE_DUPLICATES=false VALIDATION_STRINGENCY=SILENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 10 11:19:48 GMT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1593830	28574603	88549274	4029752	848249	7055974	0	0.254672	47880423

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	17388359	17388359
2.0	1.550576	3085243	3085243
3.0	1.853709	630622	630622
4.0	2.020607	181978	181978
5.0	2.112497	75705	75705
6.0	2.163089	40718	40718
7.0	2.190944	25369	25369
8.0	2.206281	16962	16962
9.0	2.214724	12442	12442
10.0	2.219373	9379	9379
11.0	2.221933	7224	7224
12.0	2.223342	5654	5654
13.0	2.224118	4603	4603
14.0	2.224545	3722	3722
15.0	2.22478	3150	3150
16.0	2.22491	2690	2690
17.0	2.224981	2159	2159
18.0	2.22502	1943	1943
19.0	2.225042	1675	1675
20.0	2.225054	1474	1474
21.0	2.22506	1319	1319
22.0	2.225064	1150	1150
23.0	2.225066	1066	1066
24.0	2.225067	925	925
25.0	2.225068	868	868
26.0	2.225068	788	788
27.0	2.225068	677	677
28.0	2.225068	597	597
29.0	2.225068	549	549
30.0	2.225068	523	523
31.0	2.225068	496	496
32.0	2.225068	504	504
33.0	2.225068	388	388
34.0	2.225068	382	382
35.0	2.225068	341	341
36.0	2.225068	317	317
37.0	2.225068	303	303
38.0	2.225068	277	277
39.0	2.225068	308	308
40.0	2.225068	241	241
41.0	2.225068	229	229
42.0	2.225068	254	254
43.0	2.225068	217	217
44.0	2.225068	211	211
45.0	2.225068	176	176
46.0	2.225068	166	166
47.0	2.225068	168	168
48.0	2.225068	145	145
49.0	2.225068	138	138
50.0	2.225068	120	120
51.0	2.225068	124	124
52.0	2.225068	142	142
53.0	2.225068	111	111
54.0	2.225068	94	94
55.0	2.225068	103	103
56.0	2.225068	110	110
57.0	2.225068	98	98
58.0	2.225068	87	87
59.0	2.225068	84	84
60.0	2.225068	72	72
61.0	2.225068	97	97
62.0	2.225068	67	67
63.0	2.225068	70	70
64.0	2.225068	68	68
65.0	2.225068	64	64
66.0	2.225068	62	62
67.0	2.225068	70	70
68.0	2.225068	60	60
69.0	2.225068	61	61
70.0	2.225068	56	56
71.0	2.225068	56	56
72.0	2.225068	45	45
73.0	2.225068	49	49
74.0	2.225068	42	42
75.0	2.225068	39	39
76.0	2.225068	42	42
77.0	2.225068	53	53
