## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics REF_FLAT=references/Course_tx_refflat.txt STRAND_SPECIFICITY=NONE INPUT=salmon/SRR7657873/SRR7657873.bam OUTPUT=salmon/SRR7657873/SRR7657873.RNAseq_metrics.txt ASSUME_SORTED=true VALIDATION_STRINGENCY=SILENT    MINIMUM_LENGTH=500 RRNA_FRAGMENT_PERCENTAGE=0.8 METRIC_ACCUMULATION_LEVEL=[ALL_READS] STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Mar 06 14:38:36 GMT 2023

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
9050529900	8811093406		8469573204	0	0	341520202	0	0	0	13866872	13856088	673117	0.500194	0.499806		0.96124	0	0	0.03876	0.96124	0.93581	0	0.565699	0.099359	0.174308	0.555672			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.015604
1	0.057384
2	0.138112
3	0.229831
4	0.323777
5	0.417039
6	0.506861
7	0.583932
8	0.653421
9	0.722541
10	0.786332
11	0.83977
12	0.88631
13	0.922853
14	0.959434
15	1.001203
16	1.036328
17	1.065397
18	1.09302
19	1.123258
20	1.149099
21	1.167533
22	1.18676
23	1.20172
24	1.215943
25	1.225737
26	1.232398
27	1.240311
28	1.247917
29	1.253655
30	1.262137
31	1.273651
32	1.280728
33	1.286125
34	1.288974
35	1.284035
36	1.280061
37	1.278389
38	1.280935
39	1.280676
40	1.280351
41	1.278513
42	1.27902
43	1.278462
44	1.279326
45	1.277687
46	1.281481
47	1.280221
48	1.281498
49	1.282309
50	1.278044
51	1.275773
52	1.273528
53	1.268243
54	1.262921
55	1.258007
56	1.255693
57	1.250383
58	1.242337
59	1.233374
60	1.225223
61	1.2181
62	1.207806
63	1.202892
64	1.202006
65	1.19806
66	1.193299
67	1.187357
68	1.178019
69	1.164874
70	1.16089
71	1.151438
72	1.142832
73	1.131996
74	1.117435
75	1.104651
76	1.09034
77	1.079534
78	1.063589
79	1.046981
80	1.032724
81	1.012811
82	0.98943
83	0.96802
84	0.940266
85	0.906453
86	0.874096
87	0.834202
88	0.794064
89	0.747147
90	0.704013
91	0.661189
92	0.612208
93	0.55132
94	0.485893
95	0.409936
96	0.326562
97	0.24199
98	0.156698
99	0.075741
100	0.017814

