## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[salmon/SRR7657879/SRR7657879.sorted.bam] OUTPUT=salmon/SRR7657879/SRR7657879.sorted.mkdup.bam METRICS_FILE=salmon/SRR7657879/SRR7657879.sorted.mkdup_metrics.txt REMOVE_DUPLICATES=false VALIDATION_STRINGENCY=SILENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 10 11:19:51 GMT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1367935	27393877	85101755	3438848	699160	6727527	0	0.252053	46208872

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	16933083	16933083
2.0	1.552762	2800624	2800624
3.0	1.858308	540346	540346
4.0	2.027203	159997	159997
5.0	2.120561	70576	70576
6.0	2.172166	39286	39286
7.0	2.200692	25083	25083
8.0	2.216459	17501	17501
9.0	2.225175	12576	12576
10.0	2.229993	9815	9815
11.0	2.232656	7385	7385
12.0	2.234128	6070	6070
13.0	2.234942	4894	4894
14.0	2.235392	3990	3990
15.0	2.23564	3381	3381
16.0	2.235778	2850	2850
17.0	2.235854	2459	2459
18.0	2.235896	2128	2128
19.0	2.235919	1961	1961
20.0	2.235932	1677	1677
21.0	2.235939	1491	1491
22.0	2.235943	1293	1293
23.0	2.235945	1210	1210
24.0	2.235946	991	991
25.0	2.235947	947	947
26.0	2.235947	859	859
27.0	2.235947	810	810
28.0	2.235947	701	701
29.0	2.235947	688	688
30.0	2.235947	618	618
31.0	2.235947	577	577
32.0	2.235947	515	515
33.0	2.235947	473	473
34.0	2.235947	425	425
35.0	2.235947	414	414
36.0	2.235947	382	382
37.0	2.235947	334	334
38.0	2.235947	334	334
39.0	2.235947	302	302
40.0	2.235947	290	290
41.0	2.235947	303	303
42.0	2.235947	256	256
43.0	2.235947	232	232
44.0	2.235947	233	233
45.0	2.235947	223	223
46.0	2.235947	234	234
47.0	2.235947	205	205
48.0	2.235947	177	177
49.0	2.235947	169	169
50.0	2.235947	149	149
51.0	2.235947	158	158
52.0	2.235947	162	162
53.0	2.235947	146	146
54.0	2.235947	131	131
55.0	2.235947	141	141
56.0	2.235947	115	115
57.0	2.235947	121	121
58.0	2.235947	94	94
59.0	2.235947	98	98
60.0	2.235947	103	103
61.0	2.235947	97	97
62.0	2.235947	112	112
63.0	2.235947	90	90
64.0	2.235947	95	95
65.0	2.235947	84	84
66.0	2.235947	90	90
67.0	2.235947	92	92
68.0	2.235947	84	84
69.0	2.235947	59	59
70.0	2.235947	86	86
71.0	2.235947	59	59
72.0	2.235947	68	68
73.0	2.235947	58	58
74.0	2.235947	41	41
