## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[poor_qc_sample/F11/SRR7657893.sorted.bam] OUTPUT=poor_qc_sample/F11/SRR7657893.sorted.mkdup.bam METRICS_FILE=poor_qc_sample/F11/SRR7657893.sorted.mkdup_metrics.txt REMOVE_DUPLICATES=false ASSUME_SORTED=true VALIDATION_STRINGENCY=SILENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Mar 13 13:33:39 GMT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	4608766	18074259	144895991	13612327	3315589	13281166	428365	0.733069	4930708

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.002389	1264593	0	1291394
2.0	1.028038	1013980	332786	1033941
3.0	1.028694	765905	33869	774229
4.0	1.028711	545916	4884	543426
5.0	1.028711	373153	1171	366618
6.0	1.028711	251249	457	242013
7.0	1.028711	167444	242	159396
8.0	1.028711	111859	137	104608
9.0	1.028711	74525	70	69350
10.0	1.028711	50812	50	46665
11.0	1.028711	34746	54	31787
12.0	1.028711	24929	33	23017
13.0	1.028711	18241	23	16631
14.0	1.028711	13615	15	12444
15.0	1.028711	10385	13	9527
16.0	1.028711	8250	3	7693
17.0	1.028711	6654	5	6196
18.0	1.028711	5571	9	5185
19.0	1.028711	4681	4	4365
20.0	1.028711	3879	6	3783
21.0	1.028711	3536	7	3306
22.0	1.028711	3025	3	2956
23.0	1.028711	2616	3	2432
24.0	1.028711	2367	1	2193
25.0	1.028711	2056	4	1977
26.0	1.028711	1875	3	1851
27.0	1.028711	1755	0	1676
28.0	1.028711	1547	1	1431
29.0	1.028711	1388	1	1378
30.0	1.028711	1293	1	1236
31.0	1.028711	1138	0	1062
32.0	1.028711	1059	0	1059
33.0	1.028711	952	0	967
34.0	1.028711	967	0	911
35.0	1.028711	813	0	755
36.0	1.028711	796	0	741
37.0	1.028711	725	1	684
38.0	1.028711	645	1	608
39.0	1.028711	632	1	593
40.0	1.028711	550	2	542
41.0	1.028711	524	0	527
42.0	1.028711	505	0	489
43.0	1.028711	454	0	417
44.0	1.028711	424	1	417
45.0	1.028711	440	0	441
46.0	1.028711	411	0	411
47.0	1.028711	410	0	361
48.0	1.028711	385	0	375
49.0	1.028711	338	0	332
50.0	1.028711	338	0	298
51.0	1.028711	291	0	284
52.0	1.028711	297	0	264
53.0	1.028711	260	0	263
54.0	1.028711	260	0	275
55.0	1.028711	244	0	253
56.0	1.028711	236	0	208
57.0	1.028711	245	0	217
58.0	1.028711	209	0	200
59.0	1.028711	220	0	212
60.0	1.028711	200	0	197
61.0	1.028711	168	0	169
62.0	1.028711	173	0	157
63.0	1.028711	177	0	153
64.0	1.028711	164	0	164
65.0	1.028711	151	0	143
66.0	1.028711	131	0	158
67.0	1.028711	145	0	133
68.0	1.028711	150	0	121
69.0	1.028711	117	0	118
70.0	1.028711	115	0	123
71.0	1.028711	122	0	103
72.0	1.028711	103	0	124
73.0	1.028711	115	0	115
74.0	1.028711	115	0	96
75.0	1.028711	113	0	106
76.0	1.028711	121	0	110
77.0	1.028711	85	0	101
78.0	1.028711	92	0	91
79.0	1.028711	99	0	86
80.0	1.028711	97	0	93
81.0	1.028711	88	0	98
82.0	1.028711	106	0	79
83.0	1.028711	82	0	72
84.0	1.028711	57	0	51
85.0	1.028711	88	0	75
86.0	1.028711	59	0	79
87.0	1.028711	57	0	40
88.0	1.028711	61	0	61
89.0	1.028711	65	0	70
90.0	1.028711	69	0	50
91.0	1.028711	64	0	58
92.0	1.028711	44	0	63
93.0	1.028711	54	0	53
94.0	1.028711	53	0	55
95.0	1.028711	54	0	60
96.0	1.028711	56	0	40
97.0	1.028711	46	0	40
98.0	1.028711	42	0	47
99.0	1.028711	35	0	41
100.0	1.028711	46	0	39
101.0	0	49	0	47
102.0	0	51	0	38
103.0	0	39	0	31
104.0	0	40	0	32
